Dims,NDCG,MAP,TOP1 Precision,TOP1 Recall,TOP1 F1,TOP3 Precision,TOP3 Recall,TOP3 F1,TOP5 Precision,TOP5 Recall,TOP5 F1,
0,0.637905953,0.514177904,0.64,0.213333333,0.32,0.386666667,0.386666667,0.386666667,0.312,0.52,0.39,
10,0.611789344,0.494734543,0.52,0.173333333,0.26,0.36,0.36,0.36,0.336,0.56,0.42,
11,0.622595809,0.509900689,0.64,0.213333333,0.32,0.373333333,0.373333333,0.373333333,0.312,0.52,0.39,
12,0.612182723,0.491383972,0.52,0.173333333,0.26,0.36,0.36,0.36,0.344,0.573333333,0.43,
13,0.5739473,0.465964233,0.44,0.146666667,0.22,0.36,0.36,0.36,0.296,0.493333333,0.37,
14,0.602283041,0.498522497,0.6,0.2,0.3,0.373333333,0.373333333,0.373333333,0.328,0.546666667,0.41,
15,0.674944187,0.547538149,0.72,0.24,0.36,0.426666667,0.426666667,0.426666667,0.352,0.586666667,0.44,
16,0.644868688,0.515731173,0.56,0.186666667,0.28,0.346666667,0.346666667,0.346666667,0.368,0.613333333,0.46,
17,0.665470679,0.54368425,0.68,0.226666667,0.34,0.413333333,0.413333333,0.413333333,0.376,0.626666667,0.47,
18,0.641323289,0.510133003,0.56,0.186666667,0.28,0.386666667,0.386666667,0.386666667,0.328,0.546666667,0.41,
19,0.581981216,0.467298176,0.44,0.146666667,0.22,0.386666667,0.386666667,0.386666667,0.328,0.546666667,0.41,
1,0.628760933,0.515912093,0.64,0.213333333,0.32,0.4,0.4,0.4,0.304,0.506666667,0.38,
20,0.631231024,0.499130993,0.64,0.213333333,0.32,0.36,0.36,0.36,0.296,0.493333333,0.37,
2,0.55207423,0.451536228,0.36,0.12,0.18,0.32,0.32,0.32,0.32,0.533333333,0.4,0.18
3,0.62497691,0.501570074,0.52,0.173333333,0.26,0.373333333,0.373333333,0.373333333,0.344,0.573333333,0.43,
4,0.633245637,0.513005194,0.6,0.2,0.3,0.4,0.4,0.4,0.32,0.533333333,0.4,
5,0.628719764,0.488108253,0.56,0.186666667,0.28,0.346666667,0.346666667,0.346666667,0.32,0.533333333,0.4,
6,0.64898304,0.525266349,0.64,0.213333333,0.32,0.413333333,0.413333333,0.413333333,0.344,0.573333333,0.43,
7,0.588814419,0.46732876,0.52,0.173333333,0.26,0.333333333,0.333333333,0.333333333,0.32,0.533333333,0.4,
8,0.599540337,0.478812577,0.56,0.186666667,0.28,0.36,0.36,0.36,0.288,0.48,0.36,
9,0.613046408,0.499380863,0.6,0.2,0.3,0.413333333,0.413333333,0.413333333,0.328,0.546666667,0.41,
,,,,,,,,,,,,
,0.613,0.499,0.6,0.2,0.3,0.413,0.413,0.413,0.328,0.547,0.41,
